id|job_id|job_name|run_id|action_id|status|attempts|max_attempts|last_error_code|created_at|updated_at
34978f97-e4a5-497a-a635-c4d725c52567|petpack:f4e213bc83b0051135bb46bd0f3620f69b2caa838059b11c303458cc1f620223|petpack.generate-front-master|8783b68b-eabd-447f-99d9-cba49c245c91||succeeded|1|1||2026-08-17 14:28:51.962342+00|2026-08-17 15:41:30.002792+00
20c24b12-4aae-4114-9e95-faf93d5ead05|petpack:36b64978106ec07ce691726d24ab58f9bd79f08f78ce070645e6e98d94991deb|petpack.finalize-front-master|8783b68b-eabd-447f-99d9-cba49c245c91||succeeded|1|8||2026-08-17 15:41:30.896386+00|2026-08-17 15:41:30.909397+00
82bd8c34-4c3c-4c9e-a515-e35f6362819b|petpack:11b5c163d893542b90ca750ee5586a2b03d795cc3e3cbd7589258042cd97d612|petpack.generate-side-master|8783b68b-eabd-447f-99d9-cba49c245c91||succeeded|1|2||2026-08-17 15:41:30.925812+00|2026-08-17 15:42:05.233472+00
3547c239-dcae-4f15-8a49-8d863a3b06d8|petpack:457bdd5c9385806932d341714a508f3af238b5e5c21b4048d1a762a1f579d878|petpack.finalize-side-master|8783b68b-eabd-447f-99d9-cba49c245c91||succeeded|1|8||2026-08-17 15:42:06.072771+00|2026-08-17 15:42:06.082572+00
0eec8d48-4089-4031-bbba-90f2834acee3|petpack:d79089ef9ba283d4f8b1a44e8c9bcb41e1447625a45abd093823a2e556f37feb|petpack.generate-sleep-master|8783b68b-eabd-447f-99d9-cba49c245c91||succeeded|1|3||2026-08-17 15:50:39.354289+00|2026-08-17 15:51:05.257496+00
a83f819c-f41e-4c88-b2c0-c9a03ce01e6b|petpack:13f84367ee12d92719e477f6faed409171900d5790635cf3e205fa6998578868|petpack.finalize-sleep-master|8783b68b-eabd-447f-99d9-cba49c245c91||succeeded|1|8||2026-08-17 15:51:05.488937+00|2026-08-17 15:51:05.510722+00
41611852-8b08-4cd2-9002-5b155e62aee0|petpack:122637b7dea492e88d3a9590536068bcb84ad79750952944c649951cd1c5cdca|petpack.generate-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|1|2||2026-08-17 15:51:05.517784+00|2026-08-17 15:51:06.863869+00
c28f9536-147b-482a-bc5d-6c65c047747b|petpack:7c2a88686961a2eece1bd2e360b10a9edb7a2994ea978d56eb63b56ba5bddc1a|petpack.generate-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|2||2026-08-17 15:51:05.546229+00|2026-08-17 15:51:06.862672+00
d0a4f21b-443d-45e0-96af-7c71893a06b6|petpack:86277f653bfc93363ae06f9d71bce39a1bdceea0b89cea3c20c6e1dc21e01d96|petpack.generate-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|roll|succeeded|1|2||2026-08-17 15:51:05.550789+00|2026-08-17 15:51:07.080076+00
ca30ced2-1878-4be9-9186-5bf1c2cb210a|petpack:3fd942d6bddc6fc3363a341fbe15aa2b4534b760d6932e5c1c83572c1a74fe37|petpack.generate-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|2||2026-08-17 15:51:05.551054+00|2026-08-17 15:51:06.955824+00
fb6dd5a0-978a-4b74-ab7c-9c80a4629306|petpack:676230bc85df1e1a45452efd9cd140e1736ec183342af2f765684eb97c15ac17|petpack.generate-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|2||2026-08-17 15:51:05.552784+00|2026-08-17 15:51:06.908232+00
d6d4034d-e0c0-409e-a40e-2c86d4216451|petpack:9cabc3cb016cdf353acbe484d2afc8c8d201b511dfb58b0b39b6e441db8c3a4c|petpack.generate-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|1|2||2026-08-17 15:51:05.557398+00|2026-08-17 15:51:07.022677+00
1e46b44f-b42d-4f5b-aa3d-302b626c59d2|petpack:9ed52a2418eecebc9d4d06fcb77d4cb1170d6b3178e2d3ff5653b55e1260b75f|petpack.generate-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|2||2026-08-17 15:51:05.564231+00|2026-08-17 15:51:07.230104+00
d0c47779-899a-4b3d-9156-ef3e51d24752|petpack:3a45e0c58a922cde3d4d0e85f312cbbc857307ec5f966ffe4016cc80ead2c8c7|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:51:22.602654+00|2026-08-17 15:51:22.70096+00
e2a09321-7067-4e6f-ae76-ebe99cdf3b02|petpack:dbe34fbeb9bea01d8a73a5f0349fddc0c0c004127a3e2d3b2d49bcc1032bd90f|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|1|3||2026-08-17 15:51:22.613827+00|2026-08-17 15:51:22.709809+00
689c259d-c680-4820-b222-d1ec45eac967|petpack:1c3bbeac9c5c3f98fac84ac6e1c10672c4c4a1e4d554950481f2bf2702ca0999|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|1|3||2026-08-17 15:51:22.631532+00|2026-08-17 15:51:22.727682+00
f568285f-acc7-4af2-ba55-f192e46ccf5e|petpack:b992704b9b1b31a803063eca7129a62b5281f55af5ef7c1a9337c29512e652a6|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:51:22.631616+00|2026-08-17 15:51:22.720459+00
667835d8-4435-437d-954e-313c9d45ef4d|petpack:6b7df4b99c4d10a1d8361c092c1fef17153059e3ef3725624d23f18eebc59289|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:51:22.634293+00|2026-08-17 15:51:22.729578+00
d42db17d-46e3-4351-b36f-c0e4fc45ee01|petpack:76e5599037630ed34fc710aa92c1c753de53472bd1ec657c5e115cbc047ea374|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|roll|succeeded|1|3||2026-08-17 15:51:22.6411+00|2026-08-17 15:51:22.738859+00
7c4abcbe-29ca-4941-9a43-2547968e317a|petpack:90e9de6a745e165bf50f26bd1cbfcc1b69dc60315d903eedb5999977d98500ef|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:51:22.642164+00|2026-08-17 15:51:22.738601+00
f0cc937c-a8b7-4134-8222-998631e96354|petpack:00ea97d1918f90f8f9756f004c1b710932eb274103a2ef29f5c7d8a588af907d|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sneeze|succeeded|1|3||2026-08-17 15:51:38.690913+00|2026-08-17 15:51:38.792274+00
82b38ccb-033d-4a98-89a1-a90b5d8f8b4f|petpack:4a24b2c6a088707f7f965c77e8d7dfc36cc31d5a7e2e1bcccea2f76fafc62690|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|idle|succeeded|1|3||2026-08-17 15:51:38.699628+00|2026-08-17 15:51:38.800769+00
8fd8b06b-0888-4a64-9c1e-b3efc0a985b1|petpack:fc1ffa36c4477e1eb9f465fe654449aa74fb80b90f044d706e5fe59837c6e22e|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|stretch|succeeded|1|3||2026-08-17 15:51:38.717235+00|2026-08-17 15:51:38.81399+00
e688e7b7-e676-4498-9452-2a21f0b15c03|petpack:f769725842131e1b9c9d9cce40a9435827708a314843c48201adbf06419864e5|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|hover-attention|succeeded|1|3||2026-08-17 15:51:38.719575+00|2026-08-17 15:51:38.823005+00
d23a5cea-f256-4293-a28e-b0cb1061030f|petpack:9326f73808e8ebbe15f54a769a0cca7f555a325cde3e3e3ee0dc69afe3104a20|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-transition|succeeded|1|3||2026-08-17 15:51:38.723597+00|2026-08-17 15:51:38.81538+00
bd1fba23-01d5-42ba-9ba0-4eb0cf9786e1|petpack:363ddf6ca9a928e83233cc0f71e451c20d9ec6b490c08d47b051320d0d9ffc50|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|sleep-loop|succeeded|1|3||2026-08-17 15:51:38.724636+00|2026-08-17 15:51:38.821208+00
bfd50d9b-6b8d-47b0-ac4f-afb9f28506aa|petpack:3ae59cc596bf63a68c2cd8811ad0ffae9d9b604df41175372b66125069134fc5|petpack.poll-video-action|8783b68b-eabd-447f-99d9-cba49c245c91|roll|succeeded|1|3||2026-08-17 15:51:38.724802+00|2026-08-17 15:51:38.82317+00
